,extraversion,neuroticism,agreeableness,conscientiousness,interview,openness,id,split,YouTubeID,Ethnicity,Gender,age_group,gender_eth,gender_age,extraversion_binary,neuroticism_binary,agreeableness_binary,conscientiousness_binary,openness_binary,interview_binary
0,0.5233644859813085,0.5520833333333334,0.6263736263736264,0.6019417475728155,0.5046728971962616,0.4888888888888889,J4GQm9j0JZ0.003.mp4,training,J4GQm9j0JZ0,2,2,2,2_2,2_2,1,1,1,1,0,1
1,0.3457943925233645,0.37499999999999994,0.4725274725274725,0.5825242718446602,0.4579439252336448,0.3666666666666667,zEyRyTnIw5I.005.mp4,training,zEyRyTnIw5I,1,2,2,2_1,2_2,0,0,0,1,0,0
2,0.25233644859813087,0.29166666666666663,0.4065934065934066,0.4854368932038835,0.37383177570093457,0.5111111111111111,nskJh7v6v1U.004.mp4,training,nskJh7v6v1U,1,2,1,2_1,2_1,0,0,0,0,0,0
3,0.4579439252336449,0.4895833333333333,0.5054945054945055,0.3980582524271845,0.4579439252336448,0.3777777777777778,6wHQsN5g2RM.000.mp4,training,6wHQsN5g2RM,1,1,2,1_1,1_2,0,0,0,0,0,0
4,0.6074766355140188,0.4895833333333333,0.4065934065934066,0.6213592233009709,0.5700934579439252,0.6222222222222222,dQOeQYWIgm8.000.mp4,training,dQOeQYWIgm8,1,2,1,2_1,2_1,1,0,0,1,1,1
5,0.19626168224299068,0.3020833333333333,0.3516483516483516,0.2621359223300971,0.21495327102803735,0.5666666666666667,eHcRre1YsNA.000.mp4,training,eHcRre1YsNA,2,2,2,2_2,2_2,0,0,0,0,1,0
6,0.4205607476635514,0.6354166666666666,0.5714285714285714,0.4660194174757281,0.5327102803738317,0.6333333333333333,vZpneJlniAE.005.mp4,training,vZpneJlniAE,1,1,1,1_1,1_1,0,1,1,0,1,1
7,0.4299065420560748,0.5833333333333333,0.6263736263736264,0.5825242718446602,0.5514018691588785,0.5888888888888889,oANKg9_grdA.004.mp4,training,oANKg9_grdA,1,2,1,2_1,2_1,0,1,1,1,1,1
8,0.22429906542056074,0.13541666666666663,0.15384615384615383,0.14563106796116504,0.14018691588785043,0.23333333333333334,VuadgOz6T7s.000.mp4,training,VuadgOz6T7s,1,1,1,1_1,1_1,0,0,0,0,0,0
9,0.17757009345794392,0.19791666666666666,0.18681318681318684,0.4174757281553398,0.22429906542056074,0.3555555555555556,7nhJXn9PI0I.001.mp4,training,7nhJXn9PI0I,1,2,1,2_1,2_1,0,0,0,0,0,0
10,0.20560747663551404,0.3020833333333333,0.5384615384615384,0.36893203883495146,0.41121495327102797,0.45555555555555555,tEQEKN07KgQ.001.mp4,training,tEQEKN07KgQ,1,1,1,1_1,1_1,0,0,0,0,0,0
11,0.663551401869159,0.6979166666666666,0.7032967032967032,0.6601941747572816,0.7102803738317757,0.6222222222222222,I5x9T9ftW18.005.mp4,training,I5x9T9ftW18,1,2,1,2_1,2_1,1,1,1,1,1,1
12,0.6074766355140188,0.6666666666666667,0.5714285714285714,0.6990291262135921,0.6355140186915886,0.7,dh6iOU2RtTA.003.mp4,training,dh6iOU2RtTA,1,2,1,2_1,2_1,1,1,1,1,1,1
13,0.37383177570093457,0.5833333333333333,0.6043956043956044,0.6407766990291262,0.644859813084112,0.6333333333333333,gsleSGEZHAs.004.mp4,training,gsleSGEZHAs,1,1,2,1_1,1_2,0,1,1,1,1,1
14,0.4112149532710281,0.4791666666666667,0.6043956043956044,0.5728155339805825,0.4859813084112149,0.5444444444444444,vhugKRUnd-c.001.mp4,training,vhugKRUnd-c,1,1,1,1_1,1_1,0,0,1,1,0,0
15,0.18691588785046728,0.13541666666666663,0.17582417582417584,0.18446601941747573,0.15887850467289716,0.32222222222222224,kn6I8LdQFN0.004.mp4,training,kn6I8LdQFN0,1,2,1,2_1,2_1,0,0,0,0,0,0
